comments,time,cleaned_comments,danger_categories,Arc Flash,Electrical Contact with Source,Excavation or Trench,Explosion,Fall from Elevation,Fire with Sustained Fuel Source,Heavy Rotating Equipment,High Dose of Toxic Chemical or Radiation,High Temperature,Mobile Equipment/Traffic with Workers on Foot,Motor Vehicle Incident,Steam,Suspended Load
Adequate amount of cover up usedLMA was working energized secondary with a service running a foot or so from the side of the body. The service needed a secondary blanket applied to eliminate the risk of making a second point of contact. SIF - Electrical Contact / Arc Flash,2024-06-28 09:50:00,adequate amount cover usedlma working energized secondary service running foot side body service needed secondary blanket applied eliminate risk making second point contact sif electrical contact arc flash,"['Electrical Contact with Source', 'Arc Flash']",1,1,0,0,0,0,0,0,0,0,0,0,0
"High energy hazards discussed and mitigatedHad to ask LMB if there were any other HIGH Energy hazards on the job. [NAME] failed to identify, ( Suspended load ) - cutout and bracket, ( [NAME] from Elevation ) - bucket work, ( Electrical Greater than 50volts ) 7620. ( Line of Fire ) [NAME] and hoist. The worker did have ( ARC Flash ) identified",2024-07-09 13:57:00,high energy hazards discussed mitigatedhad ask lmb high energy hazards job name failed identify suspended load cutout bracket name elevation bucket work electrical greater volts line fire name hoist worker arc flash identified,"['Suspended Load', 'Fire with Sustained Fuel Source', 'Arc Flash']",1,0,0,0,0,1,0,0,0,0,0,0,1
"Was the job briefing site specific?[NAME] failed to check off all stop procedure use, MAD and electric voltage. They also did not have a weekly safety topic that was discussed.",2021-03-16 11:00:00,job briefing site specificname failed check stop procedure use mad electric voltage also weekly safety topic discussed,['Electrical Contact with Source'],0,1,0,0,0,0,0,0,0,0,0,0,0
Other / Job BriefingGF on site encouraged company to adjust job briefing form to add information on secondarie - voltages. Not all areas have secondaries plus there is limited training provided on secondaries. I ( AEP Safety ) encouraged GF to communicate this gap to expand knowledge and job briefing to include such hazards.,2021-12-01 10:33:00,job briefinggf site encouraged company adjust job briefing form add information secondarie voltages areas secondaries plus limited training provided secondaries aep safety encouraged gf communicate gap expand knowledge job briefing include hazards,['Electrical Contact with Source'],0,1,0,0,0,0,0,0,0,0,0,0,0
Use Cut resistant gloves2 laborers in a trench were not wearing gloves while conducting their construction work. They were instructed to wear gloves by the driver of the equipment.,2024-07-15 13:23:00,use cut resistant gloves laborers trench wearing gloves conducting construction work instructed wear gloves driver equipment,"['Motor Vehicle Incident', 'Excavation or Trench']",0,0,1,0,0,0,0,0,0,0,1,0,0
"Appropriately protected Drilling Excavations (e.g., guardrail system, fall protection, hole covers, etc.)A pole was in the cased hole; however, there was over a foot gap all the way around the pole. The casing was not backfilled up to grade - There was a 6' drop from ground level. No barricades - Unattended.",2022-06-06 21:55:00,appropriately protected drilling excavations eg guardrail system fall protection hole covers etca pole cased hole however foot gap way around pole casing backfilled grade drop ground level barricades unattended,"['Fall from Elevation', 'Excavation or Trench']",0,0,1,0,1,0,0,0,0,0,0,0,0
Employee/s ensure permit is properly completed and filled outConfined Space Permit did not reflect the generation of CO2 gasses while dry ice blasting. Corrected.,2022-10-21 10:30:00,employees ensure permit properly completed filled outconfined space permit reflect generation co gasses dry ice blasting corrected,['Explosion'],0,0,0,1,0,0,0,0,0,0,0,0,0
"Hazard RecognitionPointed out the battery storage area that had explosion coating on the walls and light, however there was no ventilation system in place. Wasn't sure if this was needed.",2023-04-17 10:56:00,hazard recognitionpointed battery storage area explosion coating walls light however ventilation system place wasnt sure needed,['Explosion'],0,0,0,1,0,0,0,0,0,0,0,0,0
"Work-site HousekeepingContractor needed to be a little more specific in their THA / JHA about the potential hazards that could cause them slip, trip, or fall. Need to mitigate potential tripping hazards prior to performing the task. Remove large debris: chunks of concrete / rocks / dirt piles prior removing T - line foundation ring templates. Contractor needed to be a little more specific in their THA / JHA about the potential hazards that could cause them slip, trip, or fall. Need to mitigate potential tripping hazards prior to performing the task. Remove large debris: chunks of concrete / rocks / dirt piles prior removing T - line foundation ring templates.",2022-03-24 08:15:00,worksite housekeepingcontractor needed little specific tha jha potential hazards could cause slip trip fall need mitigate potential tripping hazards prior performing task remove large debris chunks concrete rocks dirt piles prior removing line foundation ring templates contractor needed little specific tha jha potential hazards could cause slip trip fall need mitigate potential tripping hazards prior performing task remove large debris chunks concrete rocks dirt piles prior removing line foundation ring templates,['Fall from Elevation'],0,0,0,0,1,0,0,0,0,0,0,0,0
"Other - additional PPE is in use as required (Hearing protection, respirators, metatarsal protection, chaps, inspected appropriate fall protection, etc.).Hearing protection not being worn by boring machine operator as required. Noise level went as high as 110 dB. Anytime the noise level is above 85 dB, hearing protection is required.",2024-07-03 11:00:00,additional ppe use required hearing protection respirators metatarsal protection chaps inspected appropriate fall protection etchearing protection worn boring machine operator required noise level went high db anytime noise level db hearing protection required,['Fall from Elevation'],0,0,0,0,1,0,0,0,0,0,0,0,0
"Line of fire, Pinch pointsSpotter used when moving materials in laydown yard using front end loader with fork attachment. Observe spotter step over steel pole and stand in between poles laying next to front end loader operation. Discuss observation with loader operator and spotter pointing out potential pinch point / crush hazard and the importance of recognizing such hazards.",2020-07-28 11:55:00,line fire pinch pointsspotter used moving materials laydown yard using front end loader fork attachment observe spotter step steel pole stand poles laying next front end loader operation discuss observation loader operator spotter pointing potential pinch point crush hazard importance recognizing hazards,['Fire with Sustained Fuel Source'],0,0,0,0,0,1,0,0,0,0,0,0,0
"Line of fire, Posture and positioningDiscussed proper chain saw safety and operation, in particular the hazards and importance of not using the chainsaw above the shoulder.",2019-10-09 09:30:00,line fire posture positioningdiscussed proper chain saw safety operation particular hazards importance using chainsaw shoulder,['Fire with Sustained Fuel Source'],0,0,0,0,0,1,0,0,0,0,0,0,0
Hazards and Mitigation Controls IdentifiedEncouraged foreman to further discuss and document hazards associated with rotating equipment ( task was installing 18 guy anchors at Str. 2 ),2023-12-19 10:35:00,hazards mitigation controls identifiedencouraged foreman discuss document hazards associated rotating equipment task installing guy anchors str,['Heavy Rotating Equipment'],0,0,0,0,0,0,1,0,0,0,0,0,0
"Work gloves adequate[NAME] didn't have gloves with him ( not his truck ) when we began moving some of the parts in the bed, so [NAME] and I handled those items. [NAME] went and got his hard hat and gloves before leaving to deliver the equipment.",2024-04-04 10:00:00,work gloves adequatename didnt gloves truck began moving parts bed name handled items name went got hard hat gloves leaving deliver equipment,"['Mobile Equipment/Traffic with Workers on Foot', 'Heavy Rotating Equipment']",0,0,0,0,0,0,1,0,0,1,0,0,0
Hazardous material properly stored- labeledAerosol and some oil gallon cans not labeled. Coached crew on DOT reasons to make sure all labels and cans are secured before leaving the shop.,2019-08-23 14:02:00,hazardous material properly stored labeledaerosol oil gallon cans labeled coached crew dot reasons make sure labels cans secured leaving shop,['High Dose of Toxic Chemical or Radiation'],0,0,0,0,0,0,0,1,0,0,0,0,0
"911 Location / Hospital Info, Other / Job BriefingThey did not have the correct road name, and no supervisor name, and no number to call in case of a chemical spill.",2021-07-07 12:59:00,location hospital info job briefingthey correct road name supervisor name number call case chemical spill,"['Motor Vehicle Incident', 'High Dose of Toxic Chemical or Radiation']",0,0,0,0,0,0,0,1,0,0,1,0,0
"Hydration monitor role designated when ambient temperature is 86 degrees F or higher, Work break and fluid intake schedule established / occurredEven with hydration breaks, heat exhaustion can onset quickly. Expressed concern for rushing mindset and alleviated perceived error trap",2024-08-26 11:38:00,hydration monitor role designated ambient temperature degrees f higher work break fluid intake schedule established occurredeven hydration breaks heat exhaustion onset quickly expressed concern rushing mindset alleviated perceived error trap,['High Temperature'],0,0,0,0,0,0,0,0,1,0,0,0,0
Other - First aid kitDr. [NAME] ( AEP company doctor ) has determined that the burn cream shall not be used on persons sustaining a 2nd or 3rd degree burn and a notice was released to remove burn cream from first aid kits. 2 boxes of burn cream remained in this first aid kit.,2019-09-10 09:00:00,first aid kitdr name aep company doctor determined burn cream shall used persons sustaining nd rd degree burn notice released remove burn cream first aid kits boxes burn cream remained first aid kit,['High Temperature'],0,0,0,0,0,0,0,0,1,0,0,0,0
"Cones adequate condition, Other - Work Zone - SetupRoadsafe employees were sitting in the Truck during work operations and several cones were down the employee were coached on not sitting in the truck and to monitor the work zone",2024-02-21 11:30:00,cones adequate condition work zone setuproadsafe employees sitting truck work operations several cones employee coached sitting truck monitor work zone,"['Mobile Equipment/Traffic with Workers on Foot', 'Motor Vehicle Incident']",0,0,0,0,0,0,0,0,0,1,1,0,0
"Cleanliness, Job site hazards, Other - Housekeeping, Trash, tools, equipment secured on vehicle, Tripping Hazards - Closed doors, Walking / Working SurfacesWas a little wet but was very good about leaving ruts. Everyone was helping everyone out because they had to hand dig the hole",2021-10-15 10:15:00,cleanliness job site hazards housekeeping trash tools equipment secured vehicle tripping hazards closed doors walking working surfaceswas little wet good leaving ruts everyone helping everyone hand dig hole,"['Fall from Elevation', 'Mobile Equipment/Traffic with Workers on Foot']",0,0,0,0,1,0,0,0,0,1,0,0,0
Walking / Working SurfacesWorking along road with embankment. [NAME] would use multiple paths to get to truck instead of proven paths. Could result in a slip / trip.,2024-04-17 14:20:00,walking working surfacesworking along road embankment name would use multiple paths get truck instead proven paths could result slip trip,"['Fall from Elevation', 'Mobile Equipment/Traffic with Workers on Foot', 'Motor Vehicle Incident']",0,0,0,0,1,0,0,0,0,1,1,0,0
"Inspection up to date, Sealed appropriatelyFire extinguisher truck 840032 expired annual inspection and monthly. Informed driver and he will get it changed out at the service center.",2021-10-06 10:45:00,inspection date sealed appropriatelyfire extinguisher truck expired annual inspection monthly informed driver get changed service center,"['Mobile Equipment/Traffic with Workers on Foot', 'Motor Vehicle Incident', 'Fire with Sustained Fuel Source']",0,0,0,0,0,1,0,0,0,1,1,0,0
"Hearing protection as required by OSHA and in Owner-designated areasTeam was wearing all appropriate PPE for the tasks at hand until the hydrovac team started their work. I noticed that the equipment was rather loud, so I conducted a noise survey and shared the results with the team. I also shared the NIOSH app that I was using with the crew leaders as well. They weren't familiar with it, and they downloaded the application for their use too. Kudos to the team, as they all went and got their hearing protection and thanked me for sharing the results.",2024-08-05 09:30:00,hearing protection required osha ownerdesignated areasteam wearing appropriate ppe tasks hand hydrovac team started work noticed equipment rather loud conducted noise survey shared results team also shared niosh app using crew leaders well werent familiar downloaded application use kudos team went got hearing protection thanked sharing results,['Steam'],0,0,0,0,0,0,0,0,0,0,0,1,0
"Barricading in place to keep other employees from entering work area, Other (LSR)When the operator was lowering down the catalyst basket with the overhead crane another boilermaker was observed getting in the line of fire from the overhead lift.",2023-10-16 09:30:00,barricading place keep employees entering work area lsrwhen operator lowering catalyst basket overhead crane another boilermaker observed getting line fire overhead lift,"['Suspended Load', 'Steam', 'Fire with Sustained Fuel Source']",0,0,0,0,0,1,0,0,0,0,0,1,1
"Inspected prior to use of rigging, Other - Rigging Equipment( Sub - Contractor Cobalt Civil ) Observed damaged steel lifting sling that was being utilized to set a cage into a drilled excavation. ( [NAME] Photo ) [NAME] thimble was bent and lifting eye was bird caged, exposing the core. [NAME] was unaware of the cause of the damage. We discussed the importance of thorough rigging inspections prior to each use and red tagging and damaged equipment immediately. [NAME] supervisor immediately removed the rigging from service. [NAME] was very receptive to coaching.",2024-06-11 09:19:00,inspected prior use rigging rigging equipment sub contractor cobalt civil observed damaged steel lifting sling utilized set cage drilled excavation name photo name thimble bent lifting eye bird caged exposing core name unaware cause damage discussed importance thorough rigging inspections prior use red tagging damaged equipment immediately name supervisor immediately removed rigging service name receptive coaching,"['Suspended Load', 'Excavation or Trench']",0,0,1,0,0,0,0,0,0,0,0,0,1
Other - Rigging EquipmentThe crew was going to pickup rebar with a forklift. The where using a improper chain to try and lift the material with out using a shackle.,2024-09-23 16:30:00,rigging equipmentthe crew going pickup rebar forklift using improper chain try lift material using shackle,"['Suspended Load', 'Mobile Equipment/Traffic with Workers on Foot']",0,0,0,0,0,0,0,0,0,1,0,0,1
